Date,Time,Species Name,Accuracy
2023-08-01,20:16:42,Labrador retriever,0.76720244
2024-06-07,09:08:21,timber wolf,0.5574502
2024-06-07,09:21:34,bloodhound,0.4770743
2024-06-07,21:43:53,timber wolf,0.5574502
2024-06-07,21:44:22,king penguin,0.9998902
2024-06-07,21:58:32,timber wolf,0.5574502,2
2024-06-07,22:17:46,cheetah,0.9969254,0
2024-06-07,22:24:47,cheetah,0.9969254,1
2024-06-07,22:25:29,cheetah,0.9969254,3
2024-06-07,22:26:17,cheetah,0.9766322,4
2024-06-07,22:26:40,Arabian camel,0.26469734,1
2024-06-07,22:27:28,Kerry blue terrier,0.6021682,1
2024-06-07,22:28:29,Kerry blue terrier,0.6021682,2
2024-06-07,22:30:10,tiger,0.87293947,1
2024-06-07,22:30:39,tiger,0.87293947,2
2024-06-07,22:32:12,cheetah,0.9969254,5
2024-06-07,22:33:12,timber wolf,0.5574502,4
2024-06-07,22:33:54,Border collie,0.59569544,1
2024-06-07,22:34:26,brown bear,0.9891412,1
2024-06-07,22:34:56,tiger,0.6569336,3
2024-06-07,22:35:18,Egyptian cat,0.24993135,1
2024-06-07,22:35:41,standard poodle,0.8826412,1
2024-06-07,22:36:34,Airedale,0.62840194,1
2024-06-07,22:37:00,gorilla,0.5761661,1
2024-06-08,00:39:52,cheetah,0.9969254,6
2024-06-08,00:53:41,cheetah,0.9966695,7
2024-06-08,09:30:34,cheetah,0.99735945,8
2024-06-08,09:31:27,lion,0.9678724,1
2024-06-08,10:06:24,vizsla,0.5412476,1
2024-06-08,10:07:32,chimpanzee,0.720765,1
2024-06-08,10:08:26,window screen,0.13073918,1
2024-06-08,10:10:16,cheetah,0.33809337,9
2024-06-08,10:11:12,Arabian camel,0.4713793,2
2024-06-08,10:12:37,Arabian camel,1.0,3
2024-06-08,10:13:52,tiger,0.8628251,4
2024-06-08,10:15:32,gorilla,0.29749376,2
2024-06-08,10:16:18,African elephant,0.4986466,1
2024-06-08,12:59:37,cheetah,0.9822525,10
2024-06-08,13:24:04,Arabian camel,1.0,4
